AverageIncome,GreenUsers,NormalUsers,Period,PriceOfGreenDelivery,PriceOfNormalDelivery,QwithGreen,QwithNormal,SimulationIndex,TotalEmission,TotalQ,TotalUtility
2367.232788945977,454,546,0,15,8,2921.443581929071,2071.3164856980097,0,4700.615709434175,4992.760067627081,6135.284692320715
2367.232788945977,517,483,1,15,8,3027.051779015909,1962.666188487756,0,4687.012789602077,4989.717967503666,6132.016105387358
2367.232788945977,440,560,2,15,8,2627.7092330043565,2393.297206200549,0,4758.235515904474,5021.006439204904,6139.954532673104
2367.232788945977,521,479,3,15,8,3110.1942241700294,1951.6796146707068,0,4750.8544164237355,5061.873838840736,6147.861192012573
2367.232788945977,445,555,4,15,8,2726.253614797141,2366.62616356389,0,4820.254416881313,5092.879778361031,6155.792910870914
2367.232788945977,530,470,5,15,8,3207.697744293177,1926.490208456232,0,4813.418178320094,5134.187952749409,6163.788729067735
2367.232788945977,428,572,6,15,8,2665.4052769150544,2498.8770561578244,0,4897.741805381371,5164.282333072879,6171.674633817324
2367.232788945977,559,441,7,15,8,3396.9586930504784,1812.0398164029173,0,4869.302640148348,5208.998509453396,6179.660780572588
2367.232788945977,416,584,8,15,8,2646.115887469425,2590.8725017836123,0,4972.3768005060965,5236.988389253038,6187.41507384206
2367.232788945977,576,424,9,15,8,3526.450149761356,1756.8528173968089,0,4930.657952182029,5283.302967158165,6195.442893135434
2367.232788945977,388,612,10,15,8,2514.144003032595,2795.171973952333,0,5057.901576681664,5309.315976984926,6203.364675328279
2367.232788945977,615,385,11,15,8,3769.395793379148,1591.2827563487353,0,4983.738970389969,5360.678549727883,6211.393516138967
2367.232788945977,368,632,12,15,8,2450.2563750298955,2933.072273130731,0,5138.303010657635,5383.3286481606265,6219.19654372696
2367.232788945977,645,355,13,15,8,3969.067727083065,1468.7322883670224,0,5040.893242741786,5437.800015450088,6227.302511433714
2367.232788945977,345,655,14,15,8,2308.3577547943178,3148.2498813937486,0,5225.771860708634,5456.607636188069,6235.075642461494
2367.232788945977,679,321,15,15,8,4205.3732045633815,1311.4525043972594,0,5096.2883885043075,5516.8257089606395,6243.158439269417
2367.232788945977,322,678,16,15,8,2192.5003841206358,3339.528207570925,0,5312.778553279499,5532.028591691563,6250.932746476685
2367.232788945977,714,286,17,15,8,4421.960545027483,1174.0287651107726,0,5153.7932556355045,5595.989310138256,6259.0869957203195
2367.232788945977,294,706,18,15,8,2039.1949588021432,3568.302856859182,0,5403.578319781112,5607.497815661324,6266.902034826059
2367.232788945977,750,250,19,15,8,4662.669548475761,1014.077759371282,0,5210.480352999465,5676.747307847044,6275.051455661432
2367.232788945977,253,747,20,15,8,1803.6744970875568,3878.6780654946574,0,5501.985112873461,5682.352562582214,6282.761862672571
2367.232788945977,786,214,21,15,8,4895.282290135262,863.0736852925951,0,5268.827746414333,5758.355975427857,6291.014479922603
2367.232788945977,217,783,22,15,8,1598.2199959240766,4160.537732271006,0,5598.935728602673,5758.757728195082,6298.765400609049
2367.232788945977,802,198,23,15,8,5048.795997214541,791.7820588442598,0,5335.698456337347,5840.578056058801,6307.07663415571
2367.097923217733,288,712,0,18,8,2018.0596865294558,2963.1297806884386,1,4779.38349856495,4981.189467217894,6134.855760351522
2367.097923217733,584,416,1,18,8,3423.399542444111,1566.7779450868122,1,4647.837533286514,4990.177487530923,6131.484762796919
2367.097923217733,269,731,2,18,8,1737.3921350387475,3271.6847307270923,1,4835.337652261965,5009.076865765839,6139.702856663554
2367.097923217733,600,400,3,18,8,3540.178064298396,1522.044346090777,1,4708.204603959332,5062.222410389173,6147.356430266175
2367.097923217733,265,735,4,18,8,1758.3165005481815,3322.2433010691634,1,4904.728151562527,5080.559801617345,6155.5863170453185
2367.097923217733,608,392,5,18,8,3637.264329491124,1497.564649637126,1,4771.102546179132,5134.8289791282505,6163.284039101748
2367.097923217733,257,743,6,18,8,1743.738885318597,3408.172961588803,1,4977.537958375541,5151.9118469074,6171.364570044263
2367.097923217733,627,373,7,18,8,3763.8438478019566,1444.8485937428213,1,4832.308056764585,5208.692441544779,6179.109309809195
2367.097923217733,245,755,8,18,8,1684.4807020151354,3539.5968367782625,1,5055.629468591885,5224.077538793398,6187.25448670402
2367.097923217733,629,371,9,18,8,3835.598307676029,1447.08335821866,1,4899.121835127091,5282.68166589469,6194.989512068341
2367.097923217733,248,752,10,18,8,1748.3961606658172,3549.7634378523617,1,5123.319982451598,5298.159598518178,6203.088744400065
2367.097923217733,629,371,11,18,8,3880.7932821152654,1476.5008943143116,1,4969.214848218051,5357.294176429577,6210.831778687983
2367.097923217733,260,740,12,18,8,1824.0945786059146,3549.457817637563,1,5191.142938382887,5373.552396243478,6218.879784267605
2367.097923217733,640,360,13,18,8,3998.379990982843,1435.8228556795502,1,5034.36484756411,5434.202846662393,6226.678319758455
2367.097923217733,262,738,14,18,8,1869.3375863662168,3580.1121114166026,1,5262.515939146198,5449.44969778282,6234.704674280383
2367.097923217733,644,356,15,18,8,4078.1143682607562,1433.0790974180386,1,5103.3820288527195,5511.193465678794,6242.51852535989
2367.097923217733,260,740,16,18,8,1861.631567762244,3664.125449677069,1,5339.593860663089,5525.757017439313,6250.560849342392
2367.097923217733,662,338,17,18,8,4224.672410249632,1365.6253451034504,1,5167.830514328119,5590.297755353084,6258.370733314878
2367.097923217733,249,751,18,18,8,1793.7101645574094,3808.7138139750928,1,5423.052962076763,5602.423978532503,6266.418365496856
2367.097923217733,675,325,19,18,8,4352.897026427524,1317.0611898699406,1,5234.668513654716,5669.958216297465,6274.3135620753565
2367.097923217733,235,765,20,18,8,1763.2846821907842,3917.0075190027887,1,5503.963732974494,5680.292201193573,6282.211867477629
2367.097923217733,693,307,21,18,8,4504.777456916976,1245.9646059045238,1,5300.264317129801,5750.7420628215,6290.1564545588035
2367.097923217733,231,769,22,18,8,1740.5519195317374,4018.835585030098,1,5585.33231260866,5759.387504561836,6298.097249138929
2367.097923217733,705,295,23,18,8,4626.0283300730125,1206.3129387132797,1,5369.7384357789915,5832.341268786292,6306.008213249719
2367.006237953423,188,812,0,21,8,1420.7993062560274,3551.8379901702647,2,4830.557365800689,4972.637296426292,6134.600604497429
2367.006237953423,554,446,1,21,8,3305.241570431001,1680.4950368638433,2,4655.212450251741,4985.736607294843,6130.8025576820455
2367.006237953423,219,781,2,21,8,1510.366871264383,3495.282931846446,2,4854.613115984389,5005.6498031108285,6139.262922292227
2367.006237953423,522,478,3,21,8,3210.6207612826793,1845.6127668480808,2,4735.171452002493,5056.23352813076,6146.6206809279
2367.006237953423,253,747,4,21,8,1735.6541465064795,3342.9663675905504,2,4905.055099446382,5078.620514097031,6155.006685699487
2367.006237953423,504,496,5,21,8,3147.37539668998,1979.6947667741147,2,4812.332623795097,5127.070163464095,6162.5197068660145
