Period,AgentId,Budget,SelectedDeliveryPlan,UtilityIfGreen,UtilityIfNormal,UtilityDisparity,Emissions,EcoCon
15,2,1711.9439476653622,Normal,6.577910002201403,6.589661861155841,-0.011751858954438532,2.7644878178902736,0.0382758388624339
16,2,1711.9439476653622,Normal,6.577910002201403,6.589661861155841,-0.011751858954438532,2.7644878178902736,0.0382758388624339
17,2,1711.9439476653622,Normal,6.577910002201403,6.589661861155841,-0.011751858954438532,2.7644878178902736,0.0382758388624339
18,2,1711.9439476653622,Normal,6.577910002201403,6.589661861155841,-0.011751858954438532,2.7644878178902736,0.0382758388624339
19,2,1711.9439476653622,Normal,6.577910002201403,6.589661861155841,-0.011751858954438532,2.7644878178902736,0.0382758388624339
20,2,1711.9439476653622,Normal,6.577910002201403,6.589661861155841,-0.011751858954438532,2.7644878178902736,0.0382758388624339
21,2,1711.9439476653622,Normal,6.577910002201403,6.589661861155841,-0.011751858954438532,2.7644878178902736,0.0382758388624339
22,2,1711.9439476653622,Normal,6.577910002201403,6.589661861155841,-0.011751858954438532,2.7644878178902736,0.0382758388624339
23,2,1711.9439476653622,Normal,6.577910002201403,6.589661861155841,-0.011751858954438532,2.7644878178902736,0.0382758388624339
0,3,1473.8994483651597,Normal,5.792673843095901,5.80258771786594,-0.009913874770038689,4.0779155347488985,0.06395430070141105
1,3,1473.8994483651597,Normal,5.792673843095901,5.80258771786594,-0.009913874770038689,4.0779155347488985,0.06395430070141105
2,3,1473.8994483651597,Normal,5.792673843095901,5.80258771786594,-0.009913874770038689,4.0779155347488985,0.06395430070141105
3,3,1473.8994483651597,Normal,5.792673843095901,5.80258771786594,-0.009913874770038689,4.0779155347488985,0.06395430070141105
4,3,1473.8994483651597,Normal,5.792673843095901,5.80258771786594,-0.009913874770038689,4.0779155347488985,0.06395430070141105
5,3,1473.8994483651597,Normal,5.792673843095901,5.80258771786594,-0.009913874770038689,4.0779155347488985,0.06395430070141105
6,3,1473.8994483651597,Normal,5.792673843095901,5.80258771786594,-0.009913874770038689,4.0779155347488985,0.06395430070141105
7,3,1473.8994483651597,Normal,5.792673843095901,5.80258771786594,-0.009913874770038689,4.0779155347488985,0.06395430070141105
8,3,1473.8994483651597,Normal,5.792673843095901,5.80258771786594,-0.009913874770038689,4.0779155347488985,0.06395430070141105
