AverageIncome,GreenUsers,NormalUsers,Period,PriceOfGreenDelivery,PriceOfNormalDelivery,QwithGreen,QwithNormal,SimulationIndex,TotalEmission,TotalQ,TotalUtility
2047.722681474464,266,734,0,15,8,12553.142783269912,17572.900707459514,0,28870.729212402446,30126.043490729422,6519.303177896412
2047.722681474464,266,734,1,15,8,12553.142783269912,17572.900707459514,0,28870.729212402446,30126.043490729422,6519.303177896412
2047.722681474464,266,734,2,15,8,12553.142783269912,17572.900707459514,0,28870.729212402446,30126.043490729422,6519.303177896412
2047.722681474464,266,734,3,15,8,12553.142783269912,17572.900707459514,0,28870.729212402446,30126.043490729422,6519.303177896412
2047.722681474464,266,734,4,15,8,12553.142783269912,17572.900707459514,0,28870.729212402446,30126.043490729422,6519.303177896412
2047.722681474464,266,734,5,15,8,12553.142783269912,17572.900707459514,0,28870.729212402446,30126.043490729422,6519.303177896412
2047.722681474464,266,734,6,15,8,12553.142783269912,17572.900707459514,0,28870.729212402446,30126.043490729422,6519.303177896412
2047.722681474464,266,734,7,15,8,12553.142783269912,17572.900707459514,0,28870.729212402446,30126.043490729422,6519.303177896412
2047.722681474464,266,734,8,15,8,12553.142783269912,17572.900707459514,0,28870.729212402446,30126.043490729422,6519.303177896412
2047.722681474464,266,734,9,15,8,12553.142783269912,17572.900707459514,0,28870.729212402446,30126.043490729422,6519.303177896412
2047.722681474464,266,734,10,15,8,12553.142783269912,17572.900707459514,0,28870.729212402446,30126.043490729422,6519.303177896412
2047.722681474464,266,734,11,15,8,12553.142783269912,17572.900707459514,0,28870.729212402446,30126.043490729422,6519.303177896412
2047.722681474464,144,856,0,18,8,7698.531488484362,22380.386419057715,1,29309.06475869364,30078.91790754208,6519.1126381865015
2047.722681474464,144,856,1,18,8,7698.531488484362,22380.386419057715,1,29309.06475869364,30078.91790754208,6519.1126381865015
2047.722681474464,144,856,2,18,8,7698.531488484362,22380.386419057715,1,29309.06475869364,30078.91790754208,6519.1126381865015
2047.722681474464,144,856,3,18,8,7698.531488484362,22380.386419057715,1,29309.06475869364,30078.91790754208,6519.1126381865015
2047.722681474464,144,856,4,18,8,7698.531488484362,22380.386419057715,1,29309.06475869364,30078.91790754208,6519.1126381865015
2047.722681474464,144,856,5,18,8,7698.531488484362,22380.386419057715,1,29309.06475869364,30078.91790754208,6519.1126381865015
2047.722681474464,144,856,6,18,8,7698.531488484362,22380.386419057715,1,29309.06475869364,30078.91790754208,6519.1126381865015
2047.722681474464,144,856,7,18,8,7698.531488484362,22380.386419057715,1,29309.06475869364,30078.91790754208,6519.1126381865015
2047.722681474464,144,856,8,18,8,7698.531488484362,22380.386419057715,1,29309.06475869364,30078.91790754208,6519.1126381865015
2047.722681474464,144,856,9,18,8,7698.531488484362,22380.386419057715,1,29309.06475869364,30078.91790754208,6519.1126381865015
2047.722681474464,144,856,10,18,8,7698.531488484362,22380.386419057715,1,29309.06475869364,30078.91790754208,6519.1126381865015
2047.722681474464,144,856,11,18,8,7698.531488484362,22380.386419057715,1,29309.06475869364,30078.91790754208,6519.1126381865015
2047.722681474464,77,923,0,21,8,4591.3097653229215,25455.086389072985,2,29587.265177863614,30046.396154395898,6519.018992833409
2047.722681474464,77,923,1,21,8,4591.3097653229215,25455.086389072985,2,29587.265177863614,30046.396154395898,6519.018992833409
2047.722681474464,77,923,2,21,8,4591.3097653229215,25455.086389072985,2,29587.265177863614,30046.396154395898,6519.018992833409
2047.722681474464,77,923,3,21,8,4591.3097653229215,25455.086389072985,2,29587.265177863614,30046.396154395898,6519.018992833409
2047.722681474464,77,923,4,21,8,4591.3097653229215,25455.086389072985,2,29587.265177863614,30046.396154395898,6519.018992833409
2047.722681474464,77,923,5,21,8,4591.3097653229215,25455.086389072985,2,29587.265177863614,30046.396154395898,6519.018992833409
2047.722681474464,77,923,6,21,8,4591.3097653229215,25455.086389072985,2,29587.265177863614,30046.396154395898,6519.018992833409
2047.722681474464,77,923,7,21,8,4591.3097653229215,25455.086389072985,2,29587.265177863614,30046.396154395898,6519.018992833409
2047.722681474464,77,923,8,21,8,4591.3097653229215,25455.086389072985,2,29587.265177863614,30046.396154395898,6519.018992833409
2047.722681474464,77,923,9,21,8,4591.3097653229215,25455.086389072985,2,29587.265177863614,30046.396154395898,6519.018992833409
2047.722681474464,77,923,10,21,8,4591.3097653229215,25455.086389072985,2,29587.265177863614,30046.396154395898,6519.018992833409
2047.722681474464,77,923,11,21,8,4591.3097653229215,25455.086389072985,2,29587.265177863614,30046.396154395898,6519.018992833409
2047.722681474464,47,953,0,24,8,3004.676075566781,27024.91782630395,3,29729.126294314054,30029.593901870732,6518.972229696738
2047.722681474464,47,953,1,24,8,3004.676075566781,27024.91782630395,3,29729.126294314054,30029.593901870732,6518.972229696738
2047.722681474464,47,953,2,24,8,3004.676075566781,27024.91782630395,3,29729.126294314054,30029.593901870732,6518.972229696738
2047.722681474464,47,953,3,24,8,3004.676075566781,27024.91782630395,3,29729.126294314054,30029.593901870732,6518.972229696738
2047.722681474464,47,953,4,24,8,3004.676075566781,27024.91782630395,3,29729.126294314054,30029.593901870732,6518.972229696738
2047.722681474464,47,953,5,24,8,3004.676075566781,27024.91782630395,3,29729.126294314054,30029.593901870732,6518.972229696738
2047.722681474464,47,953,6,24,8,3004.676075566781,27024.91782630395,3,29729.126294314054,30029.593901870732,6518.972229696738
2047.722681474464,47,953,7,24,8,3004.676075566781,27024.91782630395,3,29729.126294314054,30029.593901870732,6518.972229696738
